Taxon,TSN,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,TSN_OUT,OTU_BCG_MariNW,OTU_BSTI
Heterotrissocladius Marcidus Group,-139,FALSE,FORMATTING,Heterotrissocladius,Heterotrissocladius Marcidus Group,-139,Heterotrissocladius Marcidus Group,Heterotrissocladius
Heterotrissocladius Subpilosus Gr.,FALSE,FALSE,"dubious ID, known from Artic north and Arctic Europe only backing off to genus",Heterotrissocladius,Heterotrissocladius,128737,Heterotrissocladius,Heterotrissocladius
Hexacola,154032,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Hexagenia,101537,FALSE,,DNI,Hexagenia,101537,Hexagenia,DNI
Hexagenia limbata,101552,FALSE,,DNI,Hexagenia,101537,Hexagenia,DNI
Hexatoma,120094,FALSE,,Hexatoma,Hexatoma,120094,Hexatoma,Hexatoma
Himalopsyche,115243,FALSE,single species in genus,DNI,Himalopsyche,115243,Himalopsyche,DNI
Himalopsyche phryganea,608146,FALSE,single species in genus,DNI,Himalopsyche,115243,Himalopsyche,DNI
Hirudinea,69290,FALSE,,Hirudinida,Hirudinida,1048708,Hirudinida,Hirudinida
Hirudinida,1048708,FALSE,,Hirudinida,Hirudinida,1048708,Hirudinida,Hirudinida
Hirudinidae,69407,FALSE,,Hirudinida,Hirudinida,1048708,Hirudinida,Hirudinida
Holorusia,118890,FALSE,,DNI,Holorusia,118890,Holorusia,DNI
Holorusia hespera,-229,FALSE,,DNI,Holorusia,118890,Holorusia,DNI
Homophylax,116286,FALSE,,DNI,Homophylax,116286,Homophylax,DNI
Homoplectra,115618,FALSE,,DNI,Homoplectra,115618,Homoplectra,DNI
Hornectes quadrimaculatus,FALSE,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Hydroporinae,678402,Hydroporinae,Hydroporinae
Hyalella,94025,FALSE,,Hyalella,Hyalella,94025,Hyalella,Hyalella
Hyalella azteca,94026,FALSE,,Hyalella,Hyalella,94025,Hyalella,Hyalella
Hyalellidae,94022,FALSE,,Hyalella,Hyalella,94025,Hyalella,Hyalella
Hybomitra,131321,FALSE,,Tabanidae,Tabanidae,130934,Tabanidae,Tabanidae
Hydaticus,112172,FALSE,,DNI,Hydaticus,112172,Hydaticus,DNI
Hydaticus auruspex,FALSE,FALSE,,DNI,Hydaticus,112172,Hydaticus,DNI
